,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,Emotion
0,Lijo George-Dj Chetas,Loveyatri - A Journey Of Love,Chogada,1HBGWNyoRJhxvsfO8LLFDo,0.359,0.972,7,-3.452,1,0.109,0.136,2.52e-06,0.14,0.595,62.914,4,Surprise
1,Vishal-Shekhar,Student of the Year 2 (Original Motion Picture Soundtrack),The Jawaani Song,3IzQc4KEAFd8lIc90X7FZr,0.71,0.801,7,-4.845,1,0.0896,0.0728,0.0,0.0744,0.845,145.102,4,Surprise
2,Various Artists,"Morni Banke (From ""Badhaai Ho"")","Morni Banke (From ""Badhaai Ho"")",2Wu9PNpLUCBl3W1GaPqkhl,0.816,0.922,11,-2.963,0,0.149,0.178,0.0,0.373,0.887,95.006,4,Angry
3,Various Artists,"Poster Lagwa Do (From ""Luka Chuppi"")","Poster Lagwa Do (From ""Luka Chuppi"")",5G1H1Im43gBwssOH8XlnNU,0.81,0.846,2,-4.451,1,0.0435,0.0454,9.14e-05,0.374,0.885,123.966,4,Surprise
4,Various Artists,Kapoor & Sons (Since 1921) (Original Motion Picture Soundtrack),Kar Gayi Chull,3BhjbaGeI7E0CiIjctfdD3,0.827,0.737,11,-5.473,0,0.0764,0.0316,0.000322,0.211,0.873,121.99,4,Surprise
5,Arijit Singh,First Class (Kalank),First Class,7bFx4We3iNjxmIxXBxou1G,0.534,0.959,1,-3.67,0,0.361,0.449,0.0,0.354,0.751,187.576,3,Happy
6,Pritam,Ae Dil Hai Mushkil (Original Motion Picture Soundtrack),"The Breakup Song (From ""Ae Dil Hai Mushkil"")",7BjQd0sfYsMGVrTpRdBNTT,0.818,0.93,11,-2.982,1,0.247,0.33,0.0,0.658,0.831,113.988,4,Happy
7,Various Artists,Top 20 - Bollywood Songs 2018,Akh Lad Jaave,5yabnSQsFDtRoETc2dqL09,0.867,0.705,10,-3.893,0,0.0522,0.00452,0.0,0.0868,0.285,94.985,4,Angry
8,Sachin-Jigar,Stree,Kamariya,5cjVsWqIkBQC7acTRhL0RO,0.825,0.666,4,-4.847,0,0.0554,0.143,2.81e-06,0.237,0.763,96.987,4,Happy
9,Various Artists,"Dilbar (From ""Satyameva Jayate"")","Dilbar (From ""Satyameva Jayate"")",4tjLYTXFqZhkUDga4bQ0yl,0.725,0.912,9,-3.665,0,0.0851,0.155,7.68e-05,0.107,0.674,104.054,4,Surprise
10,Aastha Gill,Buzz (feat. Badshah),Buzz (feat. Badshah),3XYvdqcZrTmRntFDDbJkJd,0.663,0.551,3,-8.272,0,0.109,0.236,3.57e-05,0.0923,0.601,113.314,3,Fear
11,DIVINE,Mere Gully Mein (feat. Naezy),Mere Gully Mein (feat. Naezy),4NEdR5Yo8D2KwL7Y9KW7EH,0.744,0.813,9,-7.401,1,0.154,0.000514,0.0,0.0685,0.149,108.056,4,Angry
12,Various Artists,Gully Boy,Apna Time Aayega,5uaIbU3oHHcSOK6WFNK5nj,0.766,0.618,11,-8.552,0,0.124,0.0187,0.000115,0.181,0.513,95.054,4,Angry
13,Various Artists,Mitron (Original Motion Picture Soundtrack),Kamariya,5HJvDTnAaDWqhsE841I1QR,0.337,0.963,7,-2.93,1,0.296,0.284,0.0,0.281,0.405,62.481,4,Fear
14,Various Artists,Veere Di Wedding (Original Motion Picture Soundtrack),Tareefan,5QyOjKJhR1iyF0DHQM2IvW,0.829,0.654,5,-6.26,0,0.0685,0.0942,5.01e-06,0.2,0.335,98.012,4,Neutral
15,Various Artists,"The Humma Song (From ""OK Jaanu"")","The Humma Song (From ""OK Jaanu"")",7Ck2si1vtgdPXdKGtWGGXr,0.721,0.65,0,-6.95,0,0.135,0.0115,0.00014,0.34,0.392,130.487,5,Happy
16,Mannan Shaah,Namaste England (Original Motion Picture Soundtrack),Proper Patola,39ujbBjTwwqUFySaCYDMMT,0.77,0.824,1,-6.491,0,0.0851,0.485,0.0,0.318,0.49,172.006,4,Happy
17,Zack Knight,Bom Diggy - Single,Bom Diggy,7Dhy1R9NmD96wfr7VJEN37,0.793,0.777,4,-5.636,0,0.197,0.273,0.0,0.144,0.528,103.956,4,Surprise
18,Vishal-Shekhar,Student of the Year 2 (Original Motion Picture Soundtrack),The Hook Up Song,1bLNqR3bqpyWkwWKECjVrw,0.846,0.786,1,-4.607,1,0.0519,0.131,0.000384,0.0835,0.523,106.023,4,Surprise
19,Various Artists,Bhare Bazaar,Bhare Bazaar,4j779sUc98SGgsEP4bl1N5,0.855,0.849,11,-4.472,1,0.0549,0.276,0.0,0.0302,0.699,126.028,4,Surprise
20,Harrdy Sandhu,Kya Baat Ay,Kya Baat Ay,1ZaeaGLhFSckG8sv1y7AWk,0.849,0.592,6,-4.309,0,0.102,0.632,2.39e-06,0.108,0.652,89.966,4,Happy
21,Various Artists,"Koka (From ""Khandaani Shafakhana"")","Koka (From ""Khandaani Shafakhana"")",4H2wyTfSobQHsVnt2JYPMf,0.873,0.963,7,-1.376,1,0.104,0.172,0.000176,0.0233,0.906,94.004,4,Happy
22,Various Artists,Party Songs Neha Kakkar,"Hauli Hauli (From ""De De Pyaar De"")",1z0A545pZMaqYRkruladlk,0.705,0.982,1,-3.375,1,0.0787,0.021,3.1e-05,0.337,0.574,94.989,4,Happy
23,Shreya Ghoshal,"Slow Motion (From ""Bharat"")","Slow Motion (From ""Bharat"")",7yEuRloGyxyu1KaWBTPP1Z,0.574,0.738,10,-5.526,1,0.0958,0.0235,2.03e-06,0.0959,0.307,109.996,4,Neutral
24,The Doorbeen,Lamberghini - Single,Lamberghini,45P9g6kUb7itdonjjGjDdS,0.953,0.584,11,-7.57,1,0.0518,0.543,0.0,0.0786,0.861,104.007,4,Happy
25,Various Artists,"Aankh Marey (From ""Simmba"")","Aankh Marey (From ""Simmba"")",63MvWd6T6yoS7h4AJ4Hjrm,0.796,0.978,5,-1.266,0,0.0955,0.289,0.00254,0.346,0.8,129.999,4,Surprise
26,Meet Bros.,"Dil Ka Telephone (From ""Dream Girl"")",Dil Ka Telephone,2by8FVjoggo96ntJFHusVw,0.812,0.859,5,-3.367,0,0.165,0.513,0.0,0.174,0.793,102.022,4,Happy
27,Sachin-Jigar,"Sanedo (From ""Made in China"")","Sanedo (From ""Made in China"")",0nelifxxjcih085mvTkDLy,0.824,0.573,0,-8.563,1,0.0818,0.344,1.13e-06,0.0852,0.677,146.953,4,Happy
28,Badshah,ONE (Original Never Ends),She Move It Like,39vrbjCMTRXEdiIr2IsBgd,0.832,0.477,0,-6.949,1,0.0481,0.00725,6.47e-05,0.205,0.844,101.997,4,Fear
29,Tony Kakkar,Dheeme Dheeme,Dheeme Dheeme,4At0CnQes5Kx1ROSnnP4lK,0.952,0.657,0,-4.846,0,0.294,0.0266,0.0,0.0702,0.748,105.016,4,Angry
30,Various Artists,Naagin,Naagin,7gAyu0od48mkaCw1laPKVC,0.807,0.5,9,-10.361,1,0.0581,0.0335,8.73e-06,0.0967,0.243,97.09,4,Happy
31,Various Artists,"Coca Cola (From ""Luka Chuppi"")","Coca Cola (From ""Luka Chuppi"")",352wEkChkiClswqwDoM0nj,0.722,0.867,0,-3.652,0,0.0904,0.121,0.0052,0.123,0.893,102.009,4,Surprise
32,Arijit Singh,"Pal Pal Dil Ke Paas- Title Track (From ""Pal Pal Dil Ke Paas"")",Pal Pal Dil Ke Paas- Title Track,7lGhrfren1Zpwh0ds0zuUg,0.56,0.512,1,-7.185,0,0.0333,0.592,0.0,0.056,0.39,123.991,4,Fear
33,Vishal-Shekhar,"Ghungroo (From ""War"")","Ghungroo (From ""War"")",0WdbnNKO0Jt4BZACSDQh44,0.695,0.727,6,-6.274,0,0.0323,0.0744,0.000175,0.533,0.864,118.034,4,Happy
34,Anirudh Ravichander,"Psycho Saiyaan (From ""Saaho"")","Psycho Saiyaan (From ""Saaho"")",2IbRKQwgiyvXY1yVq8GuA3,0.785,0.746,10,-2.672,0,0.149,0.0916,1.98e-05,0.121,0.864,189.988,4,Surprise
