,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Emotion
0,A.R. Rahman,Tamasha,Agar Tum Saath Ho,3hkC9EHFZNQPXrtl8WPHnX,0.562,0.519,3,-8.744,1,0.0326,0.557,0.000268,0.172,0.415,122.925,341055,4,Sad
1,Various Artists,Ek Villain,Zaroorat,32U1XMh3DKlm45uvpofhvY,0.354,0.712,3,-6.109,0,0.0589,0.358,4.19e-05,0.274,0.238,93.345,368852,4,Fear
2,Sachin-Jigar,Badlapur (Original Motion Picture Soundtrack),"Judaai (From ""Badlapur)",1eZ9Kq8voa1bnJi3dZD8M1,0.343,0.373,7,-9.363,0,0.0607,0.745,1.2e-05,0.14,0.252,92.957,271379,5,Sad
3,Pritam,"Channa Mereya (From ""Ae Dil Hai Mushkil"")","Channa Mereya (From ""Ae Dil Hai Mushkil"")",1plFCZ6QFAjSRutT02GTCn,0.476,0.788,9,-4.821,0,0.0448,0.24,2.64e-05,0.106,0.747,90.066,289333,4,Sad
4,Jeet Gannguli,"Hamari Adhuri Kahani (Title Track) [From ""Hamari Adhuri Kahani""]","Hamari Adhuri Kahani (Title Track) [From ""Hamari Adhuri Kahani""]",3eQL03MvTJQkLqXryJ8Fja,0.223,0.359,0,-7.569,1,0.0312,0.845,0.0,0.133,0.193,73.059,398799,4,Sad
5,Gaurav Dagaonkar,Heartless,Main Dhoondne Ko Zamaane Mein,75p6BrziB5urmwPCeXl3y7,0.329,0.45,2,-6.312,0,0.0405,0.594,0.0,0.13,0.284,80.095,262987,4,Sad
6,Pritam,Yeh Jawaani Hai Deewani,Kabira,4bD9z9qa4qg9BhryvYWB7c,0.59,0.555,2,-6.861,1,0.0271,0.481,0.0,0.192,0.191,84.027,223460,4,Sad
7,Rahul Sathu,Yaadein,Yaadein,6lOmdtPruC3mOJhlydREwT,0.781,0.524,4,-8.373,0,0.217,0.681,0.00123,0.103,0.169,96.003,152500,4,Sad
8,Pritam,Dum Maaro Dum,Jiyein Kyun,0up9rhm9qt2LW7cnoDFCMk,0.393,0.609,4,-5.954,1,0.0415,0.0558,2.22e-06,0.107,0.347,71.377,264963,4,Fear
9,Various Artists,All Is Well,Baaton Ko Teri,23CkVQ84EestqfkEy4fhOQ,0.524,0.575,0,-6.571,0,0.0294,0.397,1.8e-06,0.269,0.206,89.915,280250,4,Fear
10,Amaal Mallik,Airlift,Tu Bhoola Jise,2OwIrzgIzxK2dxn924zD2K,0.472,0.554,2,-8.12,1,0.0325,0.493,0.0181,0.161,0.288,135.882,271714,4,Neutral
11,Amit Trivedi,Ek Main Aur Ekk Tu,Aahatein,3dQjCswDedsHNxdaOhcfiz,0.609,0.288,1,-13.371,1,0.0251,0.311,0.000145,0.109,0.301,81.999,267145,4,Sad
12,Amit Trivedi,Lootera,Zinda,1gEHNfJRSXpDVaEicwRRfe,0.493,0.418,9,-9.693,1,0.0261,0.436,0.102,0.104,0.22,89.982,241962,4,Neutral
13,Various Artists,Jism 2,Maula,6815JZ7XTMyTDIP6DwlAKF,0.634,0.652,4,-3.743,1,0.0418,0.149,0.000271,0.07,0.314,144.019,308196,4,Sad
14,Vishal-Shekhar,Om Shanti Om,Jag Soona Soona Lage,2sVzO3L0fdOMVe8wVlM0IE,0.563,0.71,7,-6.212,1,0.0592,0.0663,0.0,0.105,0.262,133.873,329429,4,Sad
15,Pritam,Love Aaj Kal (Original Motion Picture Soundtrack),Dooriyan,5doYtCoJ8KpfkFczP3F2ad,0.52,0.716,7,-6.582,0,0.051,0.612,0.0,0.11,0.593,122.977,337360,4,Neutral
16,Vishal-Shekhar,I Hate Luv Storys (Original Motion Picture Soundtrack),Bin Tere,3bZPdEskcnMdepwCaDSJRl,0.585,0.698,9,-6.261,1,0.0392,0.42,3.59e-06,0.363,0.621,139.831,330360,4,Fear
17,Rahul Sathu,Das Ki Kasoor,Das Ki Kasoor,2FRbQ4h7EKZMFYle9gWb8W,0.712,0.545,0,-8.263,0,0.0658,0.521,0.0,0.122,0.545,136.083,208235,4,Neutral
18,Various Artists,Best of Bollywood March,Galliyan,4ydGb4dUaW3SUwtfs4TwWR,0.442,0.716,1,-6.3,1,0.047,0.468,5.81e-05,0.452,0.387,89.869,341081,4,Angry
19,Rahul Sathu,Kyun,Kyun,6dojrojvZ0DXlTBp592XvY,0.674,0.595,11,-7.179,1,0.0398,0.558,0.0108,0.0967,0.297,139.932,157714,4,Happy
20,Various Artists,,,72ZOE09GdMde5xk9Q4jtHK,0.391,0.644,6,-6.97,0,0.0366,0.269,0.0,0.0976,0.439,184.105,261996,4,Fear
21,Pritam,"Ae Dil Hai Mushkil Title Track (From ""Ae Dil Hai Mushkil"")","Ae Dil Hai Mushkil Title Track (From ""Ae Dil Hai Mushkil"")",79jYT83v4bMOWEgwjQxSx2,0.495,0.654,3,-6.639,0,0.0679,0.713,0.0,0.165,0.35,123.896,269032,4,Fear
22,Vishal-Shekhar,Anjaana Anjaani,Tujhe Bhula Diya,4r8JqkhpTb5tzSKKHnVJIJ,0.644,0.423,11,-8.702,0,0.0324,0.464,0.0,0.11,0.509,131.903,279429,4,Fear
23,Various Artists,Half Girlfriend (Original Motion Picture Soundtrack),Phir Bhi Tumko Chaahunga,35P2Xal9x3GAdOHytyEUFe,0.527,0.525,1,-8.106,1,0.0337,0.876,1.41e-05,0.172,0.257,99.638,351588,4,Sad
24,Sachin-Jigar,"Jeena Jeena (From ""Badlapur"")","Jeena Jeena (From ""Badlapur"")",5ZhKD46Q7mhsl0awl7ZMJc,0.677,0.318,5,-9.196,1,0.028,0.775,0.0,0.118,0.585,104.983,228969,4,Neutral
25,Ajay-Atul,Agneepath (Original Motion Picture Soundtrack),Abhi Mujh Mein Kahin,73y649QhnXdcm6fRdvfraO,0.334,0.387,2,-9.483,1,0.0332,0.755,3.94e-05,0.113,0.42,129.959,364787,1,Sad
26,Shraddha Kapoor,Best Of Shraddha Kapoor,"Banjaara (From ""Ek Villain"")",2S6N9pbnkhQRyAx80HmF79,0.657,0.489,1,-6.829,0,0.0306,0.713,0.0,0.124,0.399,116.0,336567,4,Fear
27,Himesh Reshammiya,Sanam Teri Kasam (Original Motion Picture Soundtrack),"Tera Chehra (From ""Sanam Teri Kasam"")",6scAzfVRotuyZgGw8RRTN9,0.706,0.715,1,-4.143,1,0.0311,0.439,2.95e-06,0.0919,0.226,118.971,274000,4,Fear
28,Himesh Reshammiya,Sanam Teri Kasam (Original Motion Picture Soundtrack),"Sanam Teri Kasam (Reprise) (From ""Sanam Teri Kasam"")",2igMMUJSEqiFZqwu2b4SGz,0.599,0.506,0,-6.646,0,0.0335,0.318,0.0,0.123,0.283,149.847,296007,4,Sad
29,Palak Muchhal,2016 Shinning Star - Palak Muchhal,"Kaun Tujhe (From ""M.S.Dhoni - The Untold Story"")",5b7u3idwfY2LyqMQlCwscm,0.531,0.431,2,-8.937,0,0.037,0.868,2.47e-05,0.127,0.19,107.99,241449,4,Sad
30,Mithoon,Aashiqui 2,Sunn Raha Hai,5PvwPy5eRO8BPwpRzCHK3D,0.394,0.641,0,-6.493,0,0.0312,0.276,0.0,0.0958,0.335,81.932,390223,4,Fear
31,Atif Aslam,"O Saathi (From ""Baaghi 2"")",O Saathi,6fScgF2Y63ScU73nYju0ny,0.481,0.496,8,-7.421,1,0.0262,0.588,0.0,0.132,0.453,89.839,251819,4,Happy
32,Various Artists,Heart Touching Songs,"Roke Na Ruke Naina (From ""Badrinath Ki Dulhania"")",6jzUvO5F2fnOvYqCTMd5U1,0.503,0.381,9,-9.31,1,0.0283,0.722,1.15e-05,0.154,0.263,80.658,278402,4,Sad
33,Amaal Mallik,Ghar Se Nikalte Hi,Ghar Se Nikalte Hi,1Dw8GkFpFjUpNTUpfF5lee,0.591,0.462,5,-9.77,1,0.0281,0.64,6.44e-05,0.108,0.323,114.02,282687,4,Sad
34,Rahul Jain,Aaj Jaane Ki Zid Na Karo,Aaj Jaane Ki Zid Na Karo,6SMwn076ePBs1zkyAdgoUq,0.586,0.282,6,-13.436,1,0.0266,0.358,0.0,0.182,0.272,102.495,213951,3,Sad
35,Arko,Teri Mitti - Female Version (Kesari),Teri Mitti - Female Version (Kesari),6bY2lEYwgJRnoPWWT1Hld9,0.584,0.188,4,-10.067,1,0.0314,0.945,0.0,0.0871,0.393,144.068,217000,4,Sad
36,Himesh Reshammiya,Sanam Teri Kasam (Original Motion Picture Soundtrack),Bewajah,4OniQc8EwbqQnOeP2hhQpY,0.545,0.678,4,-5.2,1,0.0358,0.426,0.0,0.194,0.23,143.965,308000,4,Fear
37,Pritam,Bajrangi Bhaijaan,Zindagi Kuch Toh Bata (Reprise),6TGX01ExmdHyOG72fqUU3Q,0.528,0.615,5,-7.118,1,0.0372,0.491,0.000111,0.104,0.225,123.988,258879,4,Fear
38,Pritam,Kalank (Original Motion Picture Soundtrack),Kalank (Title Track),6vo7Y1iWyZvpjvFbf6BiZ5,0.57,0.55,10,-8.343,1,0.035,0.524,3.73e-05,0.0921,0.435,117.999,311186,4,Neutral
39,Pritam,Bajrangi Bhaijaan,Tu Jo Mila,7txLCGOXyDlDXTjtR1Sk4v,0.576,0.591,0,-7.725,1,0.0332,0.795,6.85e-05,0.266,0.478,124.013,242864,4,Fear
40,Various Artists,Ek Villain,Banjaara,4eFnk661RcdOuH9ajiTO3j,0.657,0.489,1,-6.829,0,0.0306,0.713,0.0,0.124,0.399,116.0,336567,4,Fear
41,Madan Mohan,Veer - Zaara,Do Pal,7fyIuR4aaWb6iltlAoSkxF,0.247,0.556,11,-7.514,1,0.0376,0.635,0.000436,0.146,0.371,168.823,265927,4,Neutral
42,Mithoon,Aashiqui 2,Bhula Dena,0WNCYgCd33LnBnw22WFuq8,0.515,0.508,4,-6.66,0,0.0297,0.633,0.0,0.203,0.235,131.731,240723,4,Sad
43,Various Artists,Yaariyan,Allah Waariyan,6YYVzVapUF3UnZQ0igasl3,0.483,0.781,4,-5.926,1,0.0445,0.349,0.0,0.126,0.801,83.782,314522,4,Sad
44,Shankar-Ehsaan-Loy,Kal Ho Naa Ho (Original Motion Picture Soundtrack),Kal Ho Naa Ho - Sad,4lUCGBxMfX94HYiSz9xjMy,0.585,0.467,10,-7.957,1,0.0307,0.347,0.000201,0.0878,0.354,77.985,335160,4,Sad
45,Various Artists,,,1Dd85Y3Qa4nH4yOAIh7HlY,0.682,0.337,5,-8.565,1,0.0283,0.767,0.0,0.121,0.542,105.001,228990,4,Happy
46,Various Artists,Baar Baar Dekho (Original Motion Picture Soundtrack),Dariya,0LRcXYhaWLqbs1wvSV0o9u,0.581,0.424,8,-6.616,1,0.0269,0.723,0.0,0.101,0.352,98.936,217992,4,Sad
47,Mithoon,Aashiqui 2,Milne Hai Mujhse Aayi,2iGnFW7m517taq3AJIE6DK,0.515,0.707,11,-5.467,0,0.0426,0.0357,0.0,0.134,0.304,143.752,295798,4,Sad
48,Sachet Tandon,"Bekhayali (From ""Kabir Singh"")","Bekhayali (From ""Kabir Singh"")",1feANd8EfcDP5UqSvbheM3,0.308,0.585,9,-5.18,0,0.0428,0.45,0.0,0.319,0.345,171.843,371791,3,Neutral
49,Various Artists,Sonu Ke Titu Ki Sweety,Tera Yaar Hoon Main,4ZTx87kAgEwlPMzoojFZWg,0.559,0.541,10,-5.525,1,0.0313,0.34,4.66e-06,0.102,0.309,83.978,264806,4,Sad
50,Mithoon,"Humnava (From ""Hamari Adhuri Kahani"")","Humnava (From ""Hamari Adhuri Kahani"")",4wqyrrwu6HCZWqdbOx53JX,0.341,0.478,4,-7.201,0,0.041,0.781,2.07e-05,0.147,0.276,199.435,328854,4,Sad
51,Amit Trivedi,Fitoor,Yeh Fitoor Mera,3hp6JfJIxkv3sl7E6p7DQj,0.449,0.421,4,-8.92,1,0.0272,0.387,0.000108,0.11,0.203,163.747,283070,3,Happy
52,Karan Kulkarni,Mard Ko Dard Nahi Hota,Tere Liye,7jvk8xmmSANi6qpKoLXtQG,0.695,0.351,7,-9.92,0,0.0406,0.265,2.09e-06,0.111,0.113,124.001,229408,4,Sad
53,Armaan Malik,"Tere Mere (From ""Chef"")","Tere Mere (From ""Chef"")",4lBO4Q7Pa816Mk3ptYcYUz,0.373,0.672,4,-5.797,1,0.0326,0.154,4.28e-05,0.321,0.47,84.503,343544,4,Fear
54,Jeet Gannguli,Hamari Adhuri Kahani (Original Motion Picture Soundtrack),Hasi - Male Version,32765xcLM1fd6wQIpkN9A0,0.296,0.581,6,-5.945,0,0.0338,0.433,0.0,0.0577,0.231,147.935,272669,4,Fear
55,Salim–Sulaiman,Aaja Nachle,O Re Piya,7cWnks0lsRtpAi87COOiXK,0.586,0.532,11,-8.837,0,0.0328,0.779,0.000565,0.124,0.494,99.994,379768,4,Fear
56,Pritam,New York,Tune Jo Na Kaha,0pw3p4gf5homOkvOGOJulF,0.314,0.475,5,-12.38,1,0.0838,0.779,0.00539,0.34,0.312,78.992,310073,4,Neutral
57,M. M. Kreem,Special 26,Mujh Mein Tu,4M36kNFgfTRfssVd7EsAmA,0.591,0.519,0,-6.678,1,0.0299,0.343,1.52e-06,0.103,0.276,130.052,263278,4,Sad
58,Pritam,Jab We Met,Aaoge Jab Tum,3fWMFwaJil8fD14JCgwbcL,0.645,0.459,6,-9.484,1,0.0296,0.185,0.0,0.132,0.379,119.987,355066,4,Sad
59,Jeet Gannguli,Hamari Adhuri Kahani (Original Motion Picture Soundtrack),Hamari Adhuri Kahani (Title Track),3HiobOOpSpMsi95WBKPBYk,0.223,0.359,0,-7.569,1,0.0312,0.845,0.0,0.133,0.193,73.059,398799,4,Sad
60,Salim–Sulaiman,Heroine (Original Motion Picture Soundtrack),Saaiyaan,4lSs8Q2cYcrEy2aps8MPgx,0.491,0.556,5,-6.023,1,0.0273,0.701,1.46e-06,0.0849,0.413,100.008,210133,1,Sad
