,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,Emotion
0,Vishal Bhardwaj,Kaminey,Dhan Te Nan,2BOY77LvMTUOfLcnfFAJGl,0.766,0.809,4,-6.206,1,0.161,0.0227,0.000166,0.0796,0.803,91.987,4,Angry
1,Shashwat Sachdev,Uri - The Surgical Strike (Original Motion Picture Soundtrack),Challa,2r6UZZ1JdRsDlfIQHKDjST,0.762,0.718,1,-5.039,1,0.12,0.105,1.93e-06,0.118,0.718,98.019,4,Angry
2,A.R. Rahman,Rockstar,Saadda Haq,7k3jpyYPnVnbO0p7iejWxL,0.554,0.882,6,-5.018,0,0.0488,0.091,2.8e-06,0.368,0.627,96.958,4,Angry
3,Sachet Tandon,"Ghamand Kar (From ""Tanhaji - The Unsung Warrior"")","Ghamand Kar (From ""Tanhaji - The Unsung Warrior"")",4FcZBCb6dANhvsEnFlgJwG,0.465,0.836,6,-4.353,1,0.0632,0.0387,1.02e-05,0.13,0.224,169.9,4,Angry
4,Sachin-Jigar,Badlapur (Original Motion Picture Soundtrack),Jee Karda (Rock Version),2xYbk2WDq38a0wuRyjT1mE,0.595,0.815,4,-7.777,0,0.064,0.393,0.0,0.283,0.691,139.993,4,Angry
5,Piyush Mishra,Gulaal,Aarambh,1PZZtXR7nsNIyRcqd7UeiF,0.693,0.778,1,-8.087,0,0.248,0.555,0.0,0.094,0.282,125.025,4,Angry
6,Various Artists,Rakht Charitra,Mila Toh Marega,5zlB4HfyZ4C5EbgbHPkYIN,0.522,0.872,6,-8.847,1,0.0799,0.11,1.2e-05,0.0811,0.537,120.067,4,Angry
7,Various Artists,Gully Boy,Sher Aaya Sher,2qPNdVlqZl1cYqsNc3MXnA,0.832,0.657,7,-7.755,1,0.209,0.0433,2.93e-05,0.0752,0.756,104.005,4,Angry
8,Pritam,Dangal (Original Motion Picture Soundtrack),Dhaakad,75XthnFP7DNG48s4gtNIkS,0.875,0.743,7,-5.674,1,0.0479,0.0768,0.0,0.0651,0.612,105.953,4,Angry
9,Vishal-Shekhar,Ra-One,Raftaarein,3pjZQfBShK7O01QvtQwmcg,0.717,0.92,2,-5.779,1,0.09,0.0365,0.000825,0.693,0.532,131.996,4,Angry
10,Sanjay Leela Bhansali,Padmaavat,Khalibali,3JT0mVof65rIHpRZITwRx1,0.642,0.94,9,-5.274,1,0.102,0.15,0.0,0.0989,0.645,101.252,3,Angry
11,Amit Trivedi,Udta Punjab,Ud-daa Punjab,7yn0E97MoGLBaW8mqIwqNr,0.909,0.906,1,-3.701,1,0.206,0.09,1.25e-05,0.287,0.625,121.996,4,Angry
12,Genesis the Beginning,Kabir Singh Theme,Kabir Singh Theme,3IKFpSa0b78n3zcinuv2bc,0.533,0.738,6,-8.418,1,0.0337,0.0136,0.831,0.0792,0.247,154.043,4,Angry
13,Sachin-Jigar,Badlapur (Original Motion Picture Soundtrack),Jee Karda,5KZfM2W4L74di6cYgKoUE5,0.547,0.709,11,-7.87,0,0.0374,0.159,0.0,0.109,0.401,140.062,4,Angry
14,Pritam,Ae Dil Hai Mushkil (Original Motion Picture Soundtrack) [Deluxe Edition],"Bulleya (From ""Ae Dil Hai Mushkil"")",0Bz7dfqPY4JOGZO3O1j8Wh,0.552,0.769,2,-4.504,0,0.0465,0.497,0.0,0.112,0.702,86.957,4,Angry
15,Mithoon,Shivaay,"Bolo Har Har Har (feat. Mohit Chauhan, Sukhwinder Singh, Badshah, Megha Sriram Dalton, Anugrah, Sandeep Shrivastava)",7rMqbvNImA6wy8lxlNUMmj,0.598,0.813,9,-6.107,1,0.066,0.278,0.0,0.109,0.311,140.101,4,Angry
16,Vishal-Shekhar,Sultan,Sultan,3kSBSSsXtebECjCggW87yq,0.669,0.866,2,-6.628,1,0.0499,0.0589,0.0,0.0463,0.288,119.992,4,Angry
17,Himesh Reshammiya,Aap Kaa Surroor,Tera Surroor,3WJQXRiZQNpasi3i4Tp8U1,0.521,0.718,1,-3.948,0,0.0353,0.00294,0.0,0.207,0.263,115.05,4,Angry
18,Various Artists,Gully Boy,Apna Time Aayega,5uaIbU3oHHcSOK6WFNK5nj,0.766,0.618,11,-8.552,0,0.124,0.0187,0.000115,0.181,0.513,95.054,4,Angry
19,Santhosh Narayanan,Kabali (Original Motion Picture Soundtrack),Aag Hun Main,2T09SGsKR0gAeRr5k5rfUL,0.594,0.832,11,-4.044,1,0.0397,0.107,0.000373,0.419,0.474,89.977,4,Angry
20,Anand Bhaskar,Mirzapur,Mirzapur Theme Song,3jcDFvsUtiOljbk08GsT3h,0.583,0.224,7,-19.711,1,0.0551,0.295,0.742,0.116,0.0521,131.1,4,Angry
21,Shashi Suman,Mary Kom,Ziddi Dil,0mACGvgvCcwjfJCPFLeabh,0.666,0.833,11,-7.48,0,0.0451,0.0141,8.12e-06,0.111,0.541,99.007,4,Angry
22,Benny Dayal,Get Ready To Fight,Get Ready To Fight,3n1IbkZGIxwP27kiE3TKtP,0.595,0.751,1,-5.542,1,0.0826,0.0562,0.000162,0.107,0.757,172.057,4,Angry
23,Ajay-Atul,Brothers (Original Motion Picture Soundtrack),Brothers Anthem,3uZiNvBNQldjl4OJiKsuxe,0.552,0.668,2,-9.111,1,0.0473,0.421,0.0117,0.159,0.152,95.032,4,Angry
24,Sanjay Leela Bhansali,Bajirao Mastani (Original Motion Picture Soundtrack),Malhari,2K9uOczZgzGzvxb7ZgRJNK,0.5,0.932,1,-4.501,0,0.0827,0.0592,0.0,0.302,0.32,115.0,3,Angry
25,Mehul Vyas,Tanhaji - The Unsung Warrior,Shankara Re Shankara,0cipLbNKqZjOI0ECDeyY8m,0.645,0.985,10,-3.527,0,0.169,0.291,0.0,0.0459,0.593,110.027,4,Angry
26,Shankar-Ehsaan-Loy,Bhaag Milkha Bhaag (Original Motion Picture Soundtrack),Zinda,7vZz8oJ5qAqB9MghufRK5k,0.603,0.708,4,-7.047,0,0.0379,0.000173,3.36e-06,0.158,0.611,105.046,4,Angry
27,Ajay-Atul,Singham,Singham,30MYX2NY3CHC4Y4aguuHaF,0.709,0.789,9,-6.939,0,0.0941,0.407,0.0102,0.0817,0.5,106.961,4,Angry
28,Bapi-Tutul,Sarkar,Sam Dam Dand Bhed,5M2f7YbqT2m2uOlUJNkDIP,0.558,0.886,5,-8.556,0,0.0508,0.0156,2.9e-05,0.345,0.063,78.256,4,Angry
29,Various Artists,Gully Boy,Mere Gully Mein,7fKywVasHSlshJQpkN2atd,0.844,0.617,11,-12.748,0,0.116,0.00502,0.0,0.0558,0.159,107.999,4,Angry
30,Shankar-Ehsaan-Loy,Rock On,Rock On!!,6fABlNfAOylt7ZxfX8K1XL,0.747,0.849,7,-5.916,1,0.0581,0.175,1.23e-06,0.126,0.671,113.034,4,Angry
0,Shankar Jaikishan,Gumnaam,Gumnaam Hai Koi Badnaam Hai Koi,1KCZN33CNIcnBhtfYZfmt8,0.395,0.331,0,-8.086,0,0.0305,0.95,0.00029,0.403,0.547,94.804,4,Fear
1,A.R. Rahman,Rockstar,Aur Ho,3n5KN8FDe1sFC0O9V5ZBha,0.437,0.373,5,-8.4,0,0.0314,0.215,0.0,0.114,0.157,76.976,4,Fear
2,Various Artists,Khamoshiyan (Original Motion Picture Soundtrack),Khamoshiyan,6zCQF5tu7HVwU9shhKqiuF,0.527,0.521,2,-6.837,0,0.0272,0.631,0.0,0.158,0.266,143.892,3,Fear
3,Harish Sagane,1921,Sunn Le Zara,3KJiPsjcEON0tNYApx0CmR,0.596,0.406,4,-8.676,0,0.0261,0.733,0.000131,0.0851,0.251,101.915,4,Fear
4,Harish Sagane,1921,Kuch Iss Tarah,4AQiRCigCo59IZxdTO4MRK,0.613,0.388,10,-8.578,0,0.0312,0.686,3.02e-05,0.117,0.206,132.983,4,Fear
5,Jeet Gannguli,Raaz Reboot,Lo Maan Liya,2wJ9d1Gfj8OqcznPAroqvh,0.568,0.55,11,-6.172,0,0.0262,0.728,3.62e-05,0.251,0.436,110.079,4,Fear
6,Jeet Gannguli,Raaz Reboot,The Sound Of Raaz,3wQrGI5VA46zpTk0oythBq,0.295,0.751,7,-6.58,1,0.0575,0.848,0.0,0.278,0.288,56.047,3,Fear
7,Chirrantan Bhatt,1920 Evil Returns,Uska Hi Banana,5TJOAIWHRYW8pRBpnvLUo1,0.563,0.689,0,-4.294,0,0.0262,0.294,0.0,0.288,0.321,101.94,4,Fear
8,Arijit Singh,Loveholic Arijit Singh,"Raaz Aankhein Teri (From ""Raaz Reboot"")",3bfEOwtNn8sr7rUaKCmQXR,0.562,0.52,9,-6.358,0,0.0249,0.824,4.02e-06,0.117,0.259,109.92,4,Fear
